"cut","clarity","table","x","z"
"Ideal","SI2",57,6.75,4.16
"Very Good","SI2",60,6.81,4.16
"Premium","SI2",57,6.6,4.12
"Very Good","VS2",56,6.62,4.18
"Very Good","SI1",59,6.34,4
"Premium","SI1",60,6.36,3.96
"Ideal","SI2",56,6.67,4.18
"Premium","VS1",59,6.78,4.17
"Premium","SI2",58,6.82,4.18
"Ideal","VS2",56,6.23,3.84
"Ideal","SI2",55,6.61,3.99
"Ideal","SI1",57,6.65,4.14
"Very Good","VS2",59,6.43,4.02
"Ideal","SI2",57,6.36,4
"Good","SI1",57,6.25,4.08
"Ideal","VS2",57,6.74,4.2
"Premium","SI2",59,6.47,3.98
"Very Good","SI1",59,6.39,4.03
"Very Good","SI2",56,6.61,4.16
"Ideal","SI1",60,6.61,4.07
"Premium","SI1",60,4.36,2.64
"Good","SI2",55,4.35,2.76
"Ideal","SI2",55,4.34,2.7
"Premium","SI2",59,4.35,2.69
"Premium","SI1",58,4.42,2.67
"Premium","VS2",61,4.46,2.71
"Premium","VS2",58,4.42,2.74
"Premium","SI2",59,4.49,2.69
"Very Good","SI1",62,6.32,3.89
"Good","SI1",61,6.29,4.01
"Very Good","SI2",56,6.4,3.93
"Good","SI1",59,6.34,4.07
"Good","SI1",64,6.29,3.81
"Premium","SI1",58,6.41,3.96
"Ideal","VS1",57,6.67,4.13
"Very Good","SI1",60,6.38,3.96
"Premium","VS2",58,6.81,4.26
"Very Good","VS2",56,6.13,3.87
"Ideal","VVS1",55,5.98,3.67
"Fair","VS2",54,6.04,3.93
"Very Good","SI2",61,6.42,4.04
"Premium","SI2",55,6.72,4.19
"Good","VS2",59,6.3,4
"Premium","SI1",58,6.58,4.06
"Premium","SI1",58,6.57,4.09
"Ideal","VVS1",57,5.74,3.54
"Good","SI2",61,6.32,3.97
"Very Good","SI1",62,6.57,3.89
"Ideal","VS2",56,6.84,4.07
"Good","SI1",57.6,6.74,4.27
"Ideal","SI2",56,6.21,3.88
"Premium","SI1",58,6.63,4.08
"Premium","SI1",56,6.82,4.19
"Premium","SI1",58,6.49,4.07
"Premium","SI1",57,6.76,4.21
"Very Good","VS2",56,6.5,4.07
"Premium","VS1",59,6.74,4.1
"Ideal","VS1",57,6.49,3.98
"Premium","SI1",56,6.6,3.91
"Premium","SI2",58,6.85,4.26
"Premium","VS1",57,6.54,4.08
"Very Good","SI1",58,6.45,4.04
"Ideal","VS2",57,6.78,4.23
"Premium","SI2",59,6.86,4.24
"Ideal","SI2",56,6.86,4.18
"Ideal","SI2",55,6.65,4.1
"Premium","SI1",59,6.41,4.02
"Very Good","SI1",57,6.42,4.05
"Ideal","SI1",56,6.38,3.99
"Fair","VS2",56,6.27,4.05
"Premium","SI1",59,6.43,4.04
"Ideal","SI2",61,6.95,4.15
"Ideal","SI2",56,6.56,3.98
"Premium","SI2",57,6.51,4.04
"Ideal","SI2",55,6.51,4.03
"Very Good","VS2",59,6.8,4.29
"Good","VS1",60,6.11,3.85
"Good","SI1",59,6.38,4.05
"Good","SI1",59,6.29,4.02
"Ideal","VS2",56,6.11,3.78
"Ideal","SI1",56,6.43,4.01
"Premium","SI1",59,6.7,3.88
"Very Good","SI1",58,6.41,3.77
"Very Good","SI1",58,6.41,4.03
"Very Good","VS1",59,6.64,4.11
"Premium","SI2",60,6.91,4.1
"Good","SI1",60,6.3,4.03
"Premium","VS2",60,6.32,3.92
"Very Good","VS2",58,6.45,4.07
"Very Good","SI1",60,6.32,3.95
"Premium","SI2",58,6.74,4.23
"Ideal","SI2",57,6.77,4.21
"Premium","VS2",59,6.17,3.85
"Premium","SI1",58,6.71,4.18
"Premium","SI1",61,6.32,3.84
"Very Good","SI1",59,6.38,3.97
"Premium","SI2",59,6.99,4.23
"Good","SI1",61,6.42,3.84
"Fair","SI2",57,6.93,4.49
"Ideal","SI2",53,6.43,4.03
"Very Good","VS2",55,6.14,3.84
"Good","SI1",56,6.53,4.16
"Premium","VS2",61,6.47,3.9
"Ideal","VS1",57,4.01,2.5
"Ideal","SI1",56,4.38,2.7
"Very Good","VVS2",56,4.13,2.64
"Ideal","VVS2",56,4.34,2.66
"Ideal","SI1",55.9,4.53,2.8
"Premium","SI2",56,4.79,2.85
"Ideal","SI1",57,4.46,2.77
"Premium","SI2",61,6.53,3.9
"Ideal","SI1",56,6.19,3.85
"Ideal","SI1",57,6.4,3.98
"Fair","SI1",59,6.25,3.93
"Ideal","VS2",57,6.82,4.23
"Ideal","SI1",55,6.43,4
"Premium","SI2",59,6.62,4.1
"Ideal","SI2",55.7,6.95,4.27
"Very Good","SI1",58,6.37,4.02
"Premium","SI1",58,6.49,4
"Premium","SI2",58,6.93,4.21
"Good","SI1",58,6.28,4.05
"Good","SI1",56,6.47,4.1
"Very Good","SI2",61,6.84,4.32
"Very Good","VS1",55,6.18,3.88
"Ideal","SI2",57,6.91,4.29
"Premium","SI1",60,6.61,3.91
"Premium","SI1",62,6.36,3.89
"Ideal","VS2",56,6.63,4.16
"Premium","VS2",58,6.79,4.08
"Ideal","SI1",58,6.42,3.95
"Very Good","SI1",58,6.73,4.24
"Good","SI1",58,6.35,4.03
"Premium","SI1",55,6.49,4.04
"Premium","SI1",62,6.69,4.02
"Premium","VS1",58,6.43,4
"Very Good","SI2",58,6.63,4.09
"Premium","SI1",62,6.4,3.94
"Ideal","SI2",55,6.68,4.14
"Ideal","SI1",57,6.39,3.94
"Premium","SI1",59,6.78,4.13
"Premium","SI1",59,6.44,4.02
"Ideal","SI1",56,6.31,3.92
"Very Good","SI1",60,6.73,4.06
"Premium","VS2",59,6.45,3.95
"Ideal","SI1",58,6.8,4.27
"Very Good","VS1",58,6.1,3.83
"Very Good","SI1",60,6.47,3.86
"Very Good","VS2",57,6.72,4.23
"Good","SI1",58,6.34,4.05
"Very Good","SI2",59,6.41,4.04
"Very Good","SI2",59,7.02,4.33
"Good","I1",58,7.34,4.65
"Premium","SI2",60,6.77,3.98
"Ideal","SI1",57,7.02,4.28
"Ideal","VS2",57,6.98,4.15
"Premium","SI1",59,6.38,3.98
"Premium","VS1",59,6.19,3.87
"Ideal","SI2",56,6.77,4.18
"Ideal","SI2",61,6.56,3.88
"Premium","SI2",58,6.79,4.07
"Ideal","SI2",58,6.47,4.02
"Premium","SI2",56,6.89,4.26
"Premium","SI1",57,6.64,3.99
"Premium","SI2",61,6.98,4.09
"Premium","SI1",60,6.55,3.93
"Very Good","SI2",57,6.88,4.33
"Premium","SI1",61,6.62,3.87
"Premium","SI1",56,6.76,4.22
"Ideal","SI2",54.6,6.4,4.02
"Premium","VS2",58,6.51,3.92
"Ideal","VS2",56,6.87,4.23
"Premium","VS2",59,6.85,4.29
"Ideal","SI2",55,6.55,3.99
"Ideal","SI2",57,6.55,4.06
"Premium","SI1",60,6.6,3.85
"Good","SI1",58,6.37,4.03
"Good","SI1",59,6.32,4.02
"Premium","VVS1",59,6.39,3.94
"Premium","SI1",59,6.41,3.94
"Ideal","SI2",55,6.74,4.12
"Good","SI2",57.5,6.74,4.29
"Very Good","SI1",56,6.5,4.07
"Very Good","SI1",58,6.55,4.1
"Ideal","SI1",56,6.37,3.97
"Ideal","SI1",55,4.45,2.78
"Ideal","SI1",55,4.47,2.79
"Very Good","SI1",56,4.45,2.81
"Premium","VS2",58,4.49,2.72
"Ideal","VS1",55,4.48,2.82
"Ideal","VS2",56,4.47,2.76
"Ideal","VS2",57,4.46,2.8
"Ideal","VS1",57,4.48,2.79
"Very Good","VS2",53,6.42,4.05
"Very Good","SI2",57,6.3,4.02
"Premium","VS2",61,6.45,3.95
"Fair","SI2",64,7.1,4.64
"Very Good","VS1",56,6.1,3.83
"Ideal","SI1",55,6.81,4.24
"Very Good","SI1",60,6.37,4.01
"Premium","SI1",58,6.76,4.12
"Very Good","SI1",58,6.35,4
"Good","SI1",61,6.74,4.09
"Very Good","VS1",60,6.25,3.82
"Premium","SI2",57,6.49,3.99
"Premium","SI1",60,6.36,3.96
"Ideal","VS1",57,6.96,4.3
"Ideal","VS2",54,6.74,4.17
"Very Good","SI1",60,6.32,3.99
"Ideal","VS1",55,6.65,4.11
"Ideal","SI2",54,6.46,4.01
"Good","SI1",58,6.23,4.05
"Ideal","SI1",57,6.24,3.86
"Premium","VS2",58,6.9,4.3
"Ideal","SI2",55,6.64,4.07
"Very Good","SI1",58,6.69,4.1
"Ideal","SI1",57,6.64,3.95
"Very Good","SI1",58,6.43,4
"Ideal","VVS1",56,5.75,3.54
"Ideal","SI1",56,6.4,3.99
"Good","SI1",59,6.32,4.01
"Ideal","SI1",56,6.6,4.09
"Very Good","SI1",56,6.41,4.02
"Premium","VS2",59,6.91,4.22
"Ideal","SI2",56.9,6.62,4.02
"Ideal","SI1",56,6.52,4.05
"Premium","VS2",58,6.46,3.97
"Fair","SI2",53,6.74,4.38
"Very Good","SI1",58,6.42,4.04
"Very Good","SI1",56,6.25,4
"Ideal","VS2",56,6.73,4.16
"Very Good","SI1",58,6.16,3.88
"Premium","SI1",58,6.61,3.92
"Very Good","SI2",59,6.61,4.07
"Very Good","SI1",59,6.35,3.92
"Premium","SI1",56,6.54,4.03
"Very Good","SI1",63,6.48,3.99
"Very Good","SI1",59,6.23,3.79
"Fair","I1",59,7.12,4.58
"Fair","SI1",62,6.45,3.93
"Very Good","SI2",60,6.54,4.03
"Premium","SI1",58,6.87,4.24
"Ideal","SI1",56,6.46,4.01
"Very Good","SI1",60,6.89,4.26
"Ideal","SI2",55,6.68,4.15
"Very Good","SI1",59,6.24,4.06
"Ideal","SI2",57,6.6,4.07
"Ideal","SI1",59,6.45,3.92
"Very Good","VS2",63,6.41,3.9
"Good","VS1",61,6.5,3.68
"Very Good","SI1",57,6.3,4.01
"Ideal","VS2",54,6.64,4.11
"Good","SI1",62,6.5,3.76
"Ideal","VVS1",57,5.58,3.41
"Good","VS2",58,6.57,4.16
"Very Good","VS1",58,6.46,3.86
"Good","SI1",58,6.39,4.05
"Ideal","VS1",55,6.84,4.3
"Premium","VS2",58,6.28,3.81
"Very Good","VS1",63,7.05,4.15
"Very Good","VS1",60,6.08,3.83
"Premium","SI1",59,6.49,3.9
"Premium","SI1",59,6.36,3.96
"Fair","VS1",66,6.34,3.87
"Ideal","SI1",57,6.53,4.03
"Very Good","SI2",63,7.06,4.37
"Very Good","SI2",60,6.42,3.93
"Very Good","VS2",60,6.96,4.27
"Premium","VS1",59,4.49,2.78
"Ideal","VS2",57,4.47,2.76
"Very Good","VS2",62,4.73,2.89
"Premium","VS2",59,4.41,2.77
"Ideal","SI1",54,4.5,2.77
"Ideal","VS2",55,4.52,2.77
"Ideal","VS2",56,4.48,2.78
"Good","VS2",58,6.24,3.94
"Ideal","SI1",57,6.8,4.23
"Very Good","SI2",56,6.79,4.29
"Ideal","VS2",56,6.69,4.14
"Premium","SI2",60,6.52,3.93
"Premium","SI1",61,6.42,4.03
"Very Good","SI1",56,6.39,4
"Premium","SI2",59,7.03,4.21
"Ideal","VS1",57,6.18,3.84
"Good","SI2",62,6.69,4.18
"Very Good","SI1",58,6.74,4.23
"Ideal","SI1",56,6.44,4.01
"Ideal","SI2",58,6.82,4.29
"Fair","SI1",60,6.49,4.16
"Premium","SI1",57,6.56,4.01
"Premium","SI1",61,6.54,3.97
"Very Good","SI2",60,6.7,4.2
"Ideal","SI1",56,6.85,4.23
"Premium","SI1",58,6.4,4
"Premium","SI1",58,6.6,4.01
"Ideal","SI2",56,6.92,4.2
"Premium","SI1",61,6.72,4.04
"Ideal","SI2",57,6.82,4.08
"Premium","SI2",59,7.21,4.29
"Fair","SI1",57,6.15,4.1
"Premium","SI2",59,6.41,3.98
"Premium","SI1",58,6.28,3.89
"Premium","VS2",57,6.6,4.08
"Very Good","SI2",59,6.96,4.32
"Premium","SI1",60,6.53,4
"Very Good","VS1",61,6.21,3.78
"Ideal","VS1",58,6.52,4.07
"Ideal","VS2",57,6.49,4
"Ideal","SI1",57,6.54,4.11
"Premium","SI2",60,6.9,3.99
"Premium","VS1",61,7,4.12
"Ideal","VS2",56,6.52,4.04
"Very Good","SI2",56,6.79,4.23
"Very Good","SI1",58,6.36,3.98
"Good","SI1",60,6.32,4.01
"Very Good","SI1",57,6.75,4.26
"Ideal","VS2",55,6.59,4.05
"Premium","VS2",58,6.68,4.12
"Premium","SI2",57,6.82,4.15
"Very Good","SI1",56,6.28,4.01
"Premium","SI2",57.3,6.71,4.13
"Premium","SI1",59,6.65,4.01
"Good","SI2",56,6.9,4.35
"Ideal","SI1",56,6.53,4.1
"Ideal","SI1",56,6.95,4.28
"Ideal","SI1",57,6.69,4.12
"Premium","SI2",58,6.67,4.08
"Very Good","SI1",60,6.61,4.03
"Good","SI1",58,6.55,4.15
"Good","SI1",60,6.3,4.01
"Premium","SI2",59,6.65,4.07
"Premium","SI2",57,6.74,4.03
"Premium","SI2",60,6.7,4.17
"Very Good","VS2",53,0,0
"Fair","SI2",58,6.97,4.46
"Ideal","SI1",55,6.37,3.99
"Good","SI2",54,6.75,4.28
"Ideal","SI1",54,6.56,4.09
"Very Good","SI1",57,6.58,4.06
"Ideal","SI1",58,6.57,3.98
"Ideal","SI1",56,6.54,4.02
"Ideal","SI1",57,6.54,4.01
"Good","SI1",62,6.31,4.01
"Premium","SI1",61,6.4,3.77
"Very Good","VS1",56,6.2,3.82
"Ideal","SI1",57,6.66,4.07
"Ideal","VS1",56,5.99,3.74
"Very Good","SI1",59,6.67,3.95
"Ideal","VS1",56,6.61,4.15
"Ideal","SI2",56,6.92,4.31
"Good","SI1",57,4.66,2.99
"Premium","VS2",60,4.47,2.76
"Premium","VS2",58,4.52,2.73
"Ideal","VS2",55,4.46,2.78
"Very Good","SI1",60,4.56,2.71
"Ideal","VS1",55,4.45,2.78
"Premium","VVS2",60,4.45,2.75
"Very Good","VVS2",58,4.08,2.58
"Ideal","SI1",60,6.71,4
"Premium","SI1",58,6.8,4.2
"Premium","VS1",59,6.9,4.21
"Ideal","SI1",54,6.48,3.99
"Ideal","SI2",54,6.39,3.86
"Very Good","VS2",58,6.12,3.86
"Premium","SI1",58,6.65,3.93
"Very Good","SI2",59,6.65,4.17
"Premium","SI2",60,6.6,4.05
"Premium","SI2",59,6.72,4.17
"Premium","SI2",56,6.84,4.29
"Good","VS2",59,6.3,3.99
"Very Good","SI2",56,6.3,4.06
"Premium","VS2",57,6.49,4.03
"Premium","VVS2",58,6.24,3.83
"Good","SI2",63,6.77,4.12
"Premium","VS1",61,6.4,3.93
"Fair","VVS2",63,6.9,3.83
"Very Good","SI1",57,6.34,4
"Very Good","SI1",61,6.33,3.99
"Very Good","SI1",57,6.44,3.96
"Good","VS2",64,6.38,3.95
"Ideal","SI2",56,6.64,4.08
"Very Good","SI1",59,6.34,4.02
"Ideal","SI2",60,6.7,3.98
"Very Good","SI2",58,6.67,4.15
"Ideal","SI1",54,6.92,4.26
"Ideal","VS1",56,6.79,4.18
"Very Good","VVS2",57,6.19,3.88
"Good","SI1",61,6.31,4.01
"Premium","SI2",55,6.84,4.27
"Very Good","VS2",59,6.45,4.01
"Very Good","SI2",60,7.09,4.25
"Ideal","VS2",57,6.56,3.99
"Very Good","SI1",62,6.81,4.18
"Premium","VS2",58,6.86,4.11
"Ideal","SI1",56,6.5,4.03
"Very Good","SI2",63,6.63,4.15
"Very Good","VS1",59,6.22,3.69
"Premium","SI1",58,6.4,3.93
"Premium","SI1",60,6.36,3.87
"Premium","SI1",59,6.36,4
"Good","SI1",62,6.49,3.88
"Very Good","SI1",58,6.41,4.03
"Ideal","SI1",55,6.66,4.11
"Very Good","VS1",61,6.21,3.79
"Premium","SI1",59,6.38,3.93
"Premium","SI1",58,6.54,3.91
"Ideal","SI2",54,6.75,4.16
"Premium","SI2",59,7.03,4.21
"Premium","SI1",58,6.99,4.29
"Fair","SI2",54,6.76,4.38
"Very Good","SI1",58,6.97,4.28
"Good","VS2",57.3,6.81,4.32
"Good","SI1",56,6.62,4.25
"Very Good","SI2",58,7,4.42
"Very Good","VS2",58,6.75,4.27
"Ideal","VS2",57,6.9,4.26
"Very Good","VS2",55,6.58,4.16
"Premium","SI1",57,6.63,4.07
"Ideal","SI1",55,6.61,4.11
"Premium","SI2",59,6.7,4.06
"Very Good","SI2",57,6.67,4.25
"Good","VVS2",64,6.73,4.02
"Ideal","SI2",55,6.51,4.06
"Very Good","SI1",60,6.36,3.97
"Very Good","VS1",60,6.64,4.19
"Good","SI1",60,6.38,4.04
"Premium","SI2",58,6.8,4.24
"Premium","SI1",59,6.59,3.87
"Very Good","VS2",57,6.39,4
"Very Good","SI2",60,6.41,3.89
"Very Good","SI1",58,6.36,3.99
"Very Good","SI1",60,6.49,3.97
"Ideal","SI2",59,6.72,4.09
"Very Good","VVS2",59,4.21,2.51
"Very Good","VVS1",58,4.12,2.54
"Ideal","SI2",53,4.71,2.96
"Ideal","SI1",57,4.58,2.8
"Very Good","SI2",57,4.65,2.92
"Ideal","VVS2",55,4.53,2.8
"Ideal","VS1",55,4.46,2.77
"Premium","SI1",59,6.54,3.92
"Ideal","SI2",57,6.71,4.14
"Premium","SI1",58,6.78,4.09
"Good","SI1",57,6.6,3.84
"Ideal","SI1",56,6.45,3.98
"Good","SI1",57.2,6.69,4.28
"Premium","SI1",58,6.65,4.04
"Ideal","VS2",59,6.51,3.96
"Fair","I1",59,7.31,4.98
"Very Good","SI1",60,6.68,3.89
"Good","VS2",58,6.37,4.04
"Good","SI1",58,6.91,4.4
"Ideal","VS1",57,6.77,4.18
"Premium","VS1",56,6.38,3.81
"Very Good","SI2",59,6.76,4.02
"Very Good","SI1",56,6.73,4.25
"Very Good","SI1",58,6.44,4
"Very Good","VS2",55.9,6.59,4.16
"Premium","SI1",58,6.66,3.88
"Premium","VS2",59,6.4,3.95
"Premium","SI1",59,6.89,4.28
"Good","SI1",57,6.27,4
"Ideal","SI1",58,6.86,4.27
"Ideal","SI2",55,6.54,4.06
"Ideal","SI1",60,6.48,4.01
"Ideal","SI1",56,6.55,4.06
"Very Good","SI2",56,6.74,4.25
"Ideal","SI1",56,6.49,3.98
"Ideal","SI2",56,6.59,4.08
"Ideal","SI2",57,6.85,4.27
"Premium","VS2",57,6.42,3.95
"Premium","VS2",59,6.45,3.94
"Ideal","SI1",56,6.87,4.24
"Ideal","SI1",57,6.39,3.98
"Premium","VS2",59,6.9,4.27
"Very Good","VS2",58,6.45,4.02
"Very Good","VS1",60,6.87,4.19
"Fair","SI2",60,7.07,4.62
"Premium","SI2",58,6.86,4.27
"Good","SI1",64,6.4,3.76
"Premium","SI1",59,6.68,4.19
"Ideal","VS2",54.2,6.79,4.26
"Good","SI1",61,6.45,3.87
"Ideal","SI1",55,6.54,3.93
"Very Good","SI1",61,6.37,4.01
"Premium","SI1",60,6.36,3.94
"Very Good","SI1",60,6.67,4.09
"Premium","SI2",58,6.76,4.23
"Ideal","SI1",56,6.6,4.05
"Premium","SI1",59,6.61,3.94
"Very Good","SI1",58,6.42,4
"Premium","SI2",59,6.46,3.92
"Very Good","SI1",57,6.52,3.98
"Premium","SI2",62,7.12,4.31
"Good","VS2",57,6.72,4.28
"Premium","SI1",56,7.13,4.37
"Premium","SI1",56,6.68,4.12
"Premium","SI1",58,6.56,3.83
"Premium","SI2",56,6.5,4.04
"Premium","SI1",62,6.97,4.2
"Premium","SI1",59,6.43,3.99
"Premium","SI1",59,6.4,4
"Premium","SI1",59,6.97,4.18
"Very Good","VS2",55,6.38,4.02
"Premium","VS1",58,6.39,4
"Ideal","VS2",58,6.82,4.24
"Ideal","SI2",57,6.65,4.12
"Good","SI1",59,6.35,4.02
"Ideal","SI2",54,6.78,4.16
"Ideal","VS2",57,6.78,4.16
"Premium","VS1",60,6.95,4.16
"Premium","SI1",58,6.65,3.86
"Ideal","SI2",58,6.65,4.17
"Very Good","SI2",59,6.66,4.2
"Premium","SI2",58,7.12,4.42
"Very Good","VVS2",60,4.11,2.54
"Ideal","VS2",56,4.15,2.57
"Ideal","VVS2",56,4.12,2.57
"Ideal","VVS1",56,4.09,2.55
"Ideal","VVS1",57,4.08,2.52
"Ideal","VVS2",56,4.12,2.54
"Ideal","VVS2",57,4.08,2.52
"Very Good","VVS2",61,4.33,2.57
"Premium","VS2",56,6.45,4.02
"Premium","VS2",60,6.43,4
"Good","SI1",58.6,6.61,4.26
"Premium","SI1",59,6.69,4.1
"Premium","VS1",54,6.74,4.15
"Ideal","SI1",55,6.84,4.25
"Ideal","SI2",55,6.54,4.06
"Premium","VS2",59,6.37,3.97
"Premium","SI1",57,6.56,3.89
"Premium","VS2",58,6.57,4
"Ideal","VS1",55,6.81,4.26
"Premium","SI1",58,6.64,4.15
"Premium","SI2",62,7.46,4.44
"Premium","SI1",58,6.79,4.05
"Good","SI1",61,6.53,3.81
"Very Good","VS1",58,6.23,3.77
"Good","SI1",64,6.53,3.81
"Premium","SI2",59,6.74,4.2
"Ideal","VS1",57,6.2,3.81
"Ideal","SI1",57,6.4,4.03
"Very Good","SI1",56,6.36,3.98
"Ideal","SI1",54,6.85,4.25
"Ideal","SI1",57,6.54,4.06
"Premium","SI1",58,6.44,4
"Ideal","SI1",55,6.5,3.95
"Premium","VS2",59,6.7,4.08
"Ideal","SI2",56,6.48,4.02
"Very Good","SI1",60,6.39,3.92
"Very Good","SI1",57,6.64,4.26
"Very Good","VS2",63,6.51,4.01
"Ideal","SI2",57,6.92,4.27
"Good","VS1",61,6.94,4.08
"Ideal","SI2",56,7.09,4.38
"Ideal","SI2",55,6.72,4.1
"Ideal","SI1",56,6.51,4.04
"Very Good","SI2",57,6.82,4.29
"Premium","SI1",59,6.67,4.1
"Premium","VS2",59,6.47,4.04
"Premium","VS2",56,6.43,4.01
"Premium","SI1",58,6.7,4.21
"Premium","SI1",59,6.8,4.24
"Premium","VS2",59,6.43,4.05
"Very Good","SI2",57,6.99,4.19
"Very Good","SI2",57,6.68,4.24
"Ideal","SI1",54,6.19,3.84
"Very Good","SI1",63,6.7,4.11
"Ideal","SI1",56,6.41,4.02
"Fair","VS2",58,6.21,4.02
"Ideal","SI1",61,6.75,4.27
"Premium","SI2",58,6.81,4.23
"Ideal","SI2",55,6.68,4.15
"Good","SI1",59,6.23,4.02
"Ideal","SI1",56,6.69,4.19
"Ideal","SI1",56,6.66,4.16
"Premium","SI1",58,6.56,4.1
"Fair","SI1",57,6.29,4.13
"Ideal","SI1",56,6.65,4.15
"Ideal","SI1",57,6.42,3.95
"Very Good","VS2",57,6.79,4.28
"Ideal","SI2",59,6.72,4.11
"Very Good","SI1",54,6.37,3.91
"Premium","SI1",59,7.03,4.18
"Very Good","VS2",60,6.55,3.95
"Ideal","SI2",57,6.62,4.05
"Ideal","SI2",55,6.92,4.27
"Ideal","SI2",57,6.69,4.12
"Ideal","SI1",55,6.41,3.97
"Very Good","SI1",59,6.38,4.02
"Ideal","SI1",56,6.93,4.29
"Premium","SI1",60,6.7,4.02
"Ideal","SI2",57,6.56,4.03
"Very Good","SI1",58,6.55,3.98
"Ideal","SI1",57,6.89,4.26
"Very Good","SI2",60,6.59,4.14
"Ideal","SI1",57,6.63,4.11
"Good","VS1",63,4.44,2.63
"Premium","VVS2",58,4.07,2.53
"Good","I1",56,4.74,3.01
"Very Good","SI2",61,4.61,2.83
"Ideal","SI1",56,4.59,2.83
"Ideal","SI1",56,4.62,2.79
"Very Good","SI1",62,4.7,2.82
"Premium","SI1",58,6.61,4.09
"Premium","SI1",58,6.7,4.15
"Ideal","VVS2",57,6.21,3.84
"Fair","SI1",58,6.54,4.28
"Ideal","SI1",56,6.77,4.19
"Ideal","SI2",55,6.79,4.1
"Premium","SI2",58,6.88,4.24
"Very Good","SI1",59,6.41,4.04
"Premium","VS2",61,6.48,4.05
"Good","VS2",58,6.23,4.04
"Good","VS2",56,6.27,3.97
"Premium","SI2",61,6.75,4.21
"Very Good","SI1",58,6.49,3.93
"Ideal","SI1",55,6.68,4.11
"Ideal","SI1",55,6.46,4.02
"Premium","SI2",61,7.01,4.26
"Good","SI2",57,6.9,4.41
"Ideal","SI1",53,6.36,4.03
"Premium","VS2",59,6.38,3.96
"Ideal","SI1",55,6.2,3.87
"Premium","SI1",58,6.57,4.01
"Premium","SI2",57,7.03,4.26
"Premium","SI1",59,6.57,4.09
"Premium","SI2",59,7.1,4.32
"Premium","VS1",59,6.31,3.74
"Premium","VS2",57,6.84,4.2
"Premium","SI1",58,6.33,4
"Good","SI1",60,6.32,4.01
"Ideal","VS2",56,6.84,4.28
"Premium","SI1",59,6.38,3.88
"Fair","SI2",60,6.56,4.19
"Very Good","VS2",58,6.5,3.99
"Very Good","VS2",58,6.57,4.14
"Very Good","VS1",57,6.72,4.19
"Very Good","VS1",57,6.71,4.23
"Premium","SI1",58,6.6,4.05
"Very Good","VS2",60,6.9,4.28
"Premium","SI1",59,6.58,3.98
"Very Good","SI1",60,6.33,4.03
"Very Good","SI1",56,6.89,4.2
"Ideal","SI1",56,6.37,4.01
"Ideal","SI1",55,6.21,3.85
"Very Good","SI1",58,6.69,4.19
"Premium","SI2",55,7.39,4.54
"Premium","SI1",60,6.59,4.01
"Premium","SI1",59,6.84,4.18
"Premium","SI1",59,6.86,4.24
"Premium","VS1",59,6.38,3.98
"Premium","SI1",60,6.45,3.91
"Fair","VS2",55,6.27,4.16
"Ideal","SI1",57,6.48,3.98
"Very Good","SI1",56,6.29,4.05
"Premium","SI1",59,6.84,4.1
"Premium","SI1",61,6.74,4.06
"Very Good","VS2",59,6.13,3.83
"Fair","VS2",55,6.28,3.98
"Very Good","SI2",55,6.88,4.33
"Good","SI1",58,6.62,4.17
"Fair","SI1",57.1,6.73,4.45
"Premium","SI1",60,6.38,3.91
"Premium","VS1",60,6.95,4.15
"Very Good","SI1",57,6.67,3.95
"Good","VS2",58,6.4,4.09
"Ideal","SI1",56,6.51,4
"Ideal","SI2",56,6.8,4.22
"Ideal","SI1",58,6.43,3.95
"Premium","VS2",59,6.53,4.05
"Very Good","SI1",58,6.35,4.01
"Very Good","SI1",58,7.04,4.16
"Fair","VS2",62,6.19,4.07
"Ideal","SI2",57,6.88,4.2
"Very Good","VVS2",63,6.13,3.73
"Ideal","SI2",55,6.91,4.17
"Good","VS2",56,6.27,4
"Ideal","VS2",55,6.66,4.12
"Very Good","VS2",57,4.06,2.57
"Very Good","VS2",56,3.95,2.5
"Very Good","VS2",58,3.99,2.47
"Very Good","VS2",59,3.98,2.47
"Very Good","VS1",59,3.93,2.49
"Very Good","VS1",58,3.95,2.47
"Ideal","VS1",56,4,2.46
"Ideal","SI2",54,4.42,2.75
"Ideal","VS1",58,4.3,2.64
"Good","SI1",56,4.5,2.86
"Ideal","SI2",56,4.7,2.89
"Ideal","VS1",55,4.4,2.73
"Very Good","VS2",57,4.33,2.74
"Very Good","VS2",58,4.38,2.69
"Very Good","VS1",59,4.2,2.67
"Ideal","SI2",56,6.78,4.15
"Premium","SI2",57,6.83,4.24
"Premium","VS1",58,6.82,4.27
"Very Good","SI2",60,6.95,4.31
"Good","VS1",59,6.34,4.03
"Ideal","SI1",56,6.22,3.87
"Ideal","SI1",55,6.48,4
"Premium","SI2",59,7.21,4.49
"Premium","VS2",58,6.85,4.23
"Very Good","SI1",56.7,6.44,3.94
"Premium","VS1",59,6.45,4.01
"Very Good","SI1",54,6.46,4.07
"Very Good","SI1",58,6.65,4.18
"Ideal","SI1",57,6.48,4.06
"Very Good","VS2",58,6.72,4.09
"Ideal","SI1",54,6.59,4.07
"Premium","SI2",58,6.92,4.16
"Ideal","SI1",56,6.41,3.99
"Ideal","SI2",56,6.64,4.14
"Premium","SI1",57,7.42,4.56
"Good","VS2",64,6.34,3.99
"Ideal","VVS2",56,5.72,3.53
"Ideal","VVS2",55,5.75,3.52
"Very Good","SI1",61,6.37,3.95
